movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,is_franchise,release_year,release_month,inflation_multiplier
The Santa Clause 3: The Escape Clause,2006-11-03,Comedy,G,84500122,108694869,True,2006,November,1.2863279534673335
Déjà Vu,2006-11-22,Thriller/Suspense,PG-13,64038616,82267038,False,2006,November,1.2846473446584168
Apocalypto,2006-12-08,Adventure,R,50866635,64959548,False,2006,December,1.277056129228914
Primeval,2007-01-12,Adventure,R,10597734,12985302,False,2007,January,1.2252904252928032
Bridge to Terabithia,2007-02-16,Drama,PG,82234139,100760721,False,2007,February,1.2252906423693448
Wild Hogs,2007-03-02,Comedy,PG-13,168213584,206110533,False,2007,March,1.225290657857929
Meet the Robinsons,2007-03-30,Adventure,G,97822171,119860589,False,2007,March,1.2252906245558586
The Lookout,2007-03-30,Drama,R,4600585,5637048,False,2007,March,1.2252893925446438
The Hoax,2007-04-06,Drama,R,7164995,8779196,False,2007,April,1.2252898990159797
The Invisible,2007-04-27,Thriller/Suspense,PG-13,20568319,25202168,False,2007,April,1.225290603476152
Pirates of the Caribbean: At World’…,2007-05-24,Adventure,PG-13,309420425,379129960,False,2007,May,1.2252906704526696
Ratatouille,2007-06-29,Comedy,G,206445654,252955933,False,2007,June,1.225290666569324
Underdog,2007-08-03,Adventure,PG,43760605,53619462,False,2007,August,1.2252906923933067
The Game Plan,2007-09-22,Comedy,PG,90648202,111010758,False,2007,September,1.2246327621589228
Dan in Real Life,2007-10-20,Romantic Comedy,PG-13,47642963,58350234,False,2007,October,1.2247398214926306
Enchanted,2007-11-21,Romantic Comedy,PG,127706877,156074310,False,2007,November,1.2221292515045998
National Treasure 2: Book of Secrets,2007-12-21,Adventure,PG,219961501,267003525,True,2007,December,1.2138648071873268
Hannah Montana/Miley Cyrus: Best of B…,2008-02-01,Concert/Performance,G,65281781,76646993,False,2008,February,1.174094698795059
Step Up 2 the Streets,2008-02-14,Drama,PG-13,58017783,68118371,True,2008,February,1.1740946909329506
College Road Trip,2008-03-07,Comedy,G,45610425,53550960,False,2008,March,1.1740947382095213
The Chronicles of Narnia: Prince Caspian,2008-05-16,Adventure,PG,141621490,166277038,False,2008,May,1.1740946801223457
WALL-E,2008-06-27,Adventure,G,223808164,262771918,False,2008,June,1.174094426689457
Swing Vote,2008-08-01,Comedy,PG-13,16289867,19125841,False,2008,August,1.1740943618508364
Goal! 2: Living the Dream...,2008-08-29,Drama,PG-13,225067,264247,True,2008,August,1.174081495732382
Miracle at St. Anna,2008-09-26,Drama,R,7916887,9295171,False,2008,September,1.1740941862628582
Beverly Hills Chihuahua,2008-10-03,Comedy,PG,94514402,110932022,False,2008,October,1.1737049555685704
Morning Light,2008-10-17,Documentary,PG,275093,322979,False,2008,October,1.1740720410915582
High School Musical 3: Senior Year,2008-10-24,Musical,G,90559416,106308538,True,2008,October,1.1739092707930008
Bolt,2008-11-21,Comedy,PG,114053759,133702498,False,2008,November,1.1722761193692879
Bedtime Stories,2008-12-25,Comedy,PG,110101975,128039679,False,2008,December,1.1629190030424068
Confessions of a Shopaholic,2009-02-13,Romantic Comedy,PG,44277350,49767744,False,2009,February,1.1240000587207681
Jonas Brothers: The 3D Concert Experi…,2009-02-27,Concert/Performance,G,38174685,38174685,True,2009,February,1.0
Race to Witch Mountain,2009-03-13,Adventure,PG,67172594,75501997,False,2009,March,1.12400002000816
Hannah Montana the Movie,2009-04-10,Drama,G,79576189,89443640,False,2009,April,1.1240000447872667
Earth,2009-04-22,Documentary,G,32011576,35981010,False,2009,April,1.123999955516092
Up,2009-05-29,Adventure,PG,293004164,329336681,False,2009,May,1.1240000022661794
The Proposal,2009-06-19,Romantic Comedy,PG-13,163958031,184288829,False,2009,June,1.1240000131497065
G-Force,2009-07-24,Adventure,PG,119436770,134246932,False,2009,July,1.12400002109903
Gake no ue no Ponyo,2009-08-14,Adventure,G,15090399,16961607,False,2009,August,1.1239999021894649
X Games 3D: The Movie,2009-08-21,Documentary,PG,1391434,1563976,True,2009,August,1.124003006969788
Walt and El Grupo,2009-09-10,Documentary,PG,20521,23064,False,2009,September,1.123921836167828
Surrogates,2009-09-25,Action,PG-13,38577772,43361416,False,2009,September,1.1240000070506924
Toy Story 3D Double Feature,2009-10-02,Adventure,G,30702446,34509545,True,2009,October,1.1239998598157293
Disney's A Christmas Carol,2009-11-06,Drama,PG,137855863,154927105,False,2009,November,1.1238339931904093
The Princess and the Frog,2009-11-25,Adventure,G,104400899,116316457,False,2009,November,1.1141327145085216
Old Dogs,2009-11-25,Comedy,PG,49492060,55503929,False,2009,November,1.1214713834906043
When in Rome,2010-01-29,Romantic Comedy,PG-13,32680633,34917330,False,2010,January,1.0684410549820134
Alice in Wonderland,2010-03-05,Adventure,PG,334191110,357063499,False,2010,March,1.0684410456041156
Waking Sleeping Beauty,2010-03-26,Documentary,PG,80741,86264,False,2010,March,1.0684039087947883
The Last Song,2010-03-31,Drama,PG,62950384,67258772,False,2010,March,1.0684410122105052
Oceans,2010-04-22,Documentary,G,19422319,20751600,False,2010,April,1.0684409003888773
Prince of Persia: Sands of Time,2010-05-28,Action,PG-13,90759676,96971361,False,2010,May,1.0684410222002114
Toy Story 3,2010-06-18,Adventure,G,415004880,443408255,True,2010,June,1.0684410626689498
The Sorcerer's Apprentice,2010-07-14,Adventure,PG,63150991,67473105,False,2010,July,1.068440952890193
Step Up 3D,2010-08-06,Drama,PG-13,42400223,45302137,True,2010,August,1.0684410079635667
Gedo Senki (Tales from Earthsea),2010-08-13,Adventure,PG-13,48658,51988,False,2010,August,1.068436844917588
You Again,2010-09-24,Comedy,PG,25702053,27461121,False,2010,September,1.0684407584094546
Secretariat,2010-10-08,Drama,PG,59699513,63781920,False,2010,October,1.0683825846284543
Tangled,2010-11-24,Adventure,PG,200821936,214388548,False,2010,November,1.0675554288053473
Tron: Legacy,2010-12-17,Adventure,PG,172062763,183619259,False,2010,December,1.0671644218569243
Gnomeo and Juliet,2011-02-11,Comedy,G,99967670,106270797,False,2011,February,1.0630516545999322
I am Number Four,2011-02-18,Adventure,PG-13,55100437,58574607,False,2011,February,1.0630515870500266
Mars Needs Moms,2011-03-11,Adventure,PG,21392758,22741603,False,2011,March,1.063051477514026
African Cats,2011-04-22,Documentary,G,15428747,16401551,False,2011,April,1.0630513936096042
Zokkomon,2011-04-22,Adventure,PG,2815,2984,False,2011,April,1.0600355239786856
Prom,2011-04-29,Comedy,PG,10130219,10768946,False,2011,April,1.063051647748188
Pirates of the Caribbean: On Stranger…,2011-05-20,Adventure,PG-13,241063875,256263359,False,2011,May,1.0630516870269342
Cars 2,2011-06-24,Adventure,G,191450875,203522177,True,2011,June,1.0630516940703458
Winnie the Pooh,2011-07-15,Adventure,G,26692846,28375869,False,2011,July,1.0630514633021897
The Help,2011-08-10,Drama,PG-13,169705587,180404976,False,2011,August,1.0630467693441348
Fright Night,2011-08-19,Horror,R,18298649,19452402,False,2011,August,1.0630512667902423
Real Steel,2011-10-07,Action,PG-13,85463309,90848019,False,2011,October,1.0630061024199284
The Muppets,2011-11-23,Comedy,PG,88625922,94189503,False,2011,November,1.0627760013599632
War Horse,2011-12-25,Drama,PG-13,79883359,84762149,False,2011,December,1.0610739215410308
The Secret World of Arietty,2012-02-17,Adventure,G,19192510,20325733,False,2012,February,1.0590450649758683
John Carter,2012-03-09,Adventure,PG-13,73058679,77372445,False,2012,March,1.0590452230870475
Chimpanzee,2012-04-20,Documentary,G,28965459,30675725,False,2012,April,1.0590450163417056
The Avengers,2012-05-04,Action,PG-13,623279547,660081224,False,2012,May,1.0590452184371133
Brave,2012-06-22,Adventure,PG,237282182,251292441,False,2012,June,1.0590447157974971
People Like Us,2012-06-29,Drama,PG-13,12431792,13165822,False,2012,June,1.0590445850445374
The Odd Life of Timothy Green,2012-08-15,Drama,PG,51853450,54914942,False,2012,August,1.0590412402646303
Frankenweenie,2012-10-05,Comedy,PG,35287788,37363513,False,2012,October,1.0588227576066824
Wreck-It Ralph,2012-11-02,Adventure,PG,189412677,200354959,False,2012,November,1.0577695335566162
Lincoln,2012-11-09,Drama,PG-13,182207973,192122330,False,2012,November,1.0544123115841917
Oz the Great and Powerful,2013-03-08,Adventure,PG,234770996,243434130,False,2013,March,1.0369003588501196
Iron Man 3,2013-05-03,Action,PG-13,408992272,424084233,True,2013,May,1.0369003573739897
Monsters University,2013-06-21,Adventure,G,268488329,278395641,False,2013,June,1.0369003451170498
The Lone Ranger,2013-07-02,Western,PG-13,89302115,92597388,False,2013,July,1.0369002794614663
Disney Planes,2013-08-09,Comedy,PG,90282580,93614037,False,2013,August,1.0369003300525972
The Fifth Estate,2013-10-18,Drama,R,3254172,3374251,False,2013,October,1.0369000163482447
Thor: The Dark World,2013-11-08,Adventure,PG-13,206362140,213962184,False,2013,November,1.0368286740969055
Kaze Tachinu,2013-11-08,Drama,PG-13,5201879,5367415,False,2013,November,1.0318223472710535
Frozen,2013-11-22,Adventure,PG,400738009,414997174,False,2013,November,1.0355822624252247
Delivery Man,2013-11-22,Comedy,PG-13,30659817,31787136,False,2013,November,1.0367686147637476
Saving Mr. Banks,2013-12-13,Drama,PG-13,83299761,86249969,False,2013,December,1.0354167642809924
Need for Speed,2014-03-14,Action,PG-13,43568507,44955015,False,2014,March,1.0318236289345422
Muppets Most Wanted,2014-03-21,Comedy,PG,51178893,52807594,False,2014,March,1.0318236855963259
Captain America: The Winter Soldier,2014-04-04,Action,PG-13,259746958,268013076,False,2014,April,1.0318237336200102
Bears,2014-04-18,Documentary,G,17780194,18346024,False,2014,April,1.0318236122732969
Million Dollar Arm,2014-05-10,Drama,PG,36447959,37607865,False,2014,May,1.0318236200825401
Maleficent,2014-05-30,Adventure,PG,241407328,249089809,False,2014,May,1.031823727405657
Planes: Fire and Rescue,2014-07-18,Adventure,PG,59157732,61040349,False,2014,July,1.0318236845185342
Guardians of the Galaxy,2014-08-01,Adventure,PG-13,333172112,343771168,False,2014,August,1.031812554587402
The Hundred-Foot Journey,2014-08-08,Romantic Comedy,PG,54235441,55961409,False,2014,August,1.0318236188030627
"Alexander and the Terrible, Horrible,…",2014-10-10,Comedy,PG,66954149,69055550,False,2014,October,1.031385672604098
Big Hero 6,2014-11-07,Adventure,PG,222527828,229249222,False,2014,November,1.0302047346635677
Into the Woods,2014-12-25,Musical,PG,128002372,130894237,False,2014,December,1.0225922766493734
Strange Magic,2015-01-23,Adventure,PG,12429583,12429583,False,2015,January,1.0
"McFarland, USA",2015-02-20,Drama,PG,44480275,44480275,False,2015,February,1.0
Cinderella,2015-03-13,Drama,PG,201151353,201151353,False,2015,March,1.0
Monkey Kingdom,2015-04-17,Documentary,G,16432322,16432322,False,2015,April,1.0
Avengers: Age of Ultron,2015-05-01,Action,PG-13,459005868,459005868,False,2015,May,1.0
Tomorrowland,2015-05-22,Adventure,PG,93436322,93436322,False,2015,May,1.0
Inside Out,2015-06-19,Adventure,PG,356461711,356461711,False,2015,June,1.0
Ant-Man,2015-07-17,Action,PG-13,180202163,180202163,False,2015,July,1.0
Bridge of Spies,2015-10-16,Thriller/Suspense,PG-13,72313754,72313754,False,2015,October,1.0
The Good Dinosaur,2015-11-25,Adventure,PG,123087120,123087120,False,2015,November,1.0
Star Wars Ep. VII: The Force Awakens,2015-12-18,Adventure,PG-13,936662225,936662225,False,2015,December,1.0
The Finest Hours,2016-01-29,Thriller/Suspense,PG,27569558,27569558,False,2016,January,1.0
Zootopia,2016-03-04,Adventure,PG,341268248,341268248,False,2016,March,1.0
The Jungle Book,2016-04-15,Adventure,PG,364001123,364001123,False,2016,April,1.0
A Beautiful Planet,2016-04-29,Documentary,G,7895708,7895708,False,2016,April,1.0
Captain America: Civil War,2016-05-06,Action,PG-13,408084349,408084349,False,2016,May,1.0
Alice Through the Looking Glass,2016-05-27,Adventure,PG,77042381,77042381,False,2016,May,1.0
Finding Dory,2016-06-17,Adventure,PG,486295561,486295561,False,2016,June,1.0
The BFG,2016-07-01,Adventure,PG,55483770,55483770,False,2016,July,1.0
Pete’s Dragon,2016-08-12,Adventure,PG,76233151,76233151,False,2016,August,1.0
The Light Between Oceans,2016-09-02,Drama,PG-13,12545979,12545979,False,2016,September,1.0
Queen of Katwe,2016-09-23,Drama,PG,8874389,8874389,False,2016,September,1.0
Doctor Strange,2016-11-04,Adventure,PG-13,232532923,232532923,False,2016,November,1.0
Moana,2016-11-23,Adventure,PG,246082029,246082029,False,2016,November,1.0
Rogue One: A Star Wars Story,2016-12-16,Adventure,PG-13,529483936,529483936,False,2016,December,1.0
